No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
867,強迫,2.8 ,0.748 ,7.4 ,0.800 ,109
868,強烈,4.8 ,0.400 ,7.8 ,0.748 ,452
869,強健,6.6 ,0.490 ,6.4 ,1.200 ,24
870,強硬,4.8 ,1.166 ,7.0 ,1.265 ,50
871,強暴犯,1.4 ,0.800 ,8.6 ,0.800 ,0
872,得意,5.8 ,0.980 ,5.4 ,1.356 ,151
873,得意洋洋,4.6 ,0.800 ,6.6 ,1.020 ,7
874,得罪,3.2 ,0.400 ,5.6 ,1.356 ,60
875,得體,6.2 ,0.748 ,4.6 ,1.020 ,12
876,徘徊,4.6 ,0.490 ,4.6 ,0.800 ,67
877,從容,5.8 ,0.748 ,3.4 ,1.020 ,46
878,悠閒,6.4 ,0.490 ,2.6 ,1.497 ,52
879,患病,2.8 ,0.980 ,4.8 ,1.600 ,11
880,情緒,4.6 ,0.800 ,5.4 ,0.800 ,526
881,惋惜,3.0 ,0.632 ,4.4 ,1.625 ,23
882,掃興,3.2 ,0.400 ,4.8 ,1.833 ,13
883,排斥,3.2 ,0.748 ,6.0 ,0.894 ,107
884,掙扎,3.2 ,1.166 ,7.4 ,0.800 ,136
885,掛念,4.8 ,1.470 ,5.2 ,1.470 ,8
886,掛慮,4.8 ,1.470 ,6.0 ,0.000 ,0
887,控制,4.2 ,0.980 ,5.0 ,2.098 ,758
888,推崇,6.4 ,0.800 ,5.8 ,0.980 ,61
889,敏捷,6.2 ,0.400 ,5.4 ,1.356 ,27
890,敏感,4.6 ,0.800 ,5.0 ,1.095 ,201
891,敏銳,6.4 ,0.490 ,5.2 ,1.327 ,84
892,救,5.0 ,1.414 ,6.4 ,0.490 ,224
893,敗壞,2.6 ,1.020 ,7.6 ,0.800 ,22
894,欲絕,2.0 ,1.095 ,8.2 ,0.748 ,0
895,殺,1.6 ,1.200 ,7.8 ,1.166 ,423
896,殺死,1.4 ,0.800 ,8.2 ,0.748 ,99
897,淘氣,5.6 ,1.020 ,5.6 ,1.356 ,25
898,淚流滿面,2.0 ,0.894 ,7.8 ,0.748 ,0
899,淚珠,3.6 ,0.800 ,4.6 ,1.356 ,0
900,淡漠,4.0 ,0.632 ,2.2 ,1.470 ,6
901,淨土,5.4 ,0.490 ,3.2 ,1.600 ,20
902,深思,5.2 ,0.980 ,2.6 ,1.356 ,74
903,深情,7.2 ,0.748 ,5.2 ,1.600 ,17
904,深愛,8.0 ,0.894 ,6.4 ,2.245 ,0
905,混帳,1.6 ,0.490 ,8.0 ,0.632 ,0
906,混亂,3.0 ,0.632 ,6.4 ,0.800 ,173
907,淹沒,3.6 ,1.020 ,5.6 ,1.744 ,54
908,清白,6.2 ,0.748 ,3.4 ,1.497 ,24
909,清楚,5.6 ,0.490 ,3.8 ,1.470 ,899
910,爽,7.2 ,0.748 ,7.2 ,0.748 ,46
911,爽心,7.2 ,0.748 ,7.0 ,0.894 ,0
912,爽快,7.4 ,0.490 ,6.8 ,0.748 ,14
913,爽約,3.2 ,0.748 ,5.4 ,1.855 ,0
914,爽朗,6.8 ,0.400 ,5.2 ,1.470 ,19
915,牽掛,4.4 ,1.356 ,5.0 ,1.265 ,15
916,猛烈,4.6 ,0.800 ,8.4 ,0.490 ,33
917,猜疑,3.2 ,0.400 ,5.6 ,0.800 ,17
918,理智,6.2 ,0.748 ,3.6 ,1.625 ,31
919,理想,6.8 ,0.980 ,5.0 ,1.265 ,450
920,甜言,6.4 ,0.800 ,5.0 ,1.673 ,0
921,甜美,6.6 ,0.800 ,3.6 ,1.497 ,42
922,甜密,7.0 ,1.095 ,5.0 ,1.897 ,0
923,甜甜,6.4 ,0.800 ,4.4 ,1.960 ,16
924,甜蜜,6.8 ,0.980 ,5.4 ,2.059 ,44
925,甜頭,5.8 ,1.166 ,4.6 ,1.855 ,6
926,疏忽,3.4 ,0.490 ,5.4 ,1.020 ,70
927,疏漏,3.4 ,0.490 ,5.4 ,1.020 ,7
928,盛怒,1.8 ,0.748 ,8.6 ,0.800 ,8
929,眼花撩亂,4.4 ,0.800 ,5.6 ,2.417 ,34
930,眼花繚亂,4.4 ,0.800 ,5.6 ,2.417 ,0
931,眼淚,3.4 ,0.800 ,5.8 ,0.980 ,0
932,眾怒,2.0 ,0.632 ,8.0 ,0.894 ,0
933,窒息,2.2 ,1.166 ,4.8 ,2.561 ,28
934,窒礙,2.6 ,0.490 ,6.8 ,0.748 ,9
935,笨,3.4 ,0.490 ,5.4 ,1.356 ,90
936,笨手笨腳,3.2 ,0.400 ,6.0 ,1.095 ,0
937,笨拙,3.2 ,0.400 ,4.8 ,1.720 ,15
938,粗心,3.8 ,0.400 ,4.8 ,1.600 ,32
939,粗俗,3.0 ,0.632 ,5.6 ,1.497 ,13
940,粗野,3.0 ,0.894 ,6.8 ,0.980 ,7
941,粗暴,2.2 ,0.400 ,8.2 ,0.400 ,24
942,粗魯,3.4 ,0.800 ,6.0 ,2.098 ,17
943,累,3.6 ,0.490 ,4.6 ,1.497 ,233
944,細心,5.2 ,1.166 ,3.6 ,1.200 ,98
945,統治,5.2 ,0.748 ,6.2 ,1.166 ,299
946,羞怯,3.6 ,0.490 ,4.4 ,1.744 ,14
947,羞恥,2.6 ,1.020 ,7.4 ,0.800 ,22
948,羞辱,2.0 ,0.632 ,7.8 ,0.980 ,16
949,羞愧,2.8 ,0.748 ,7.2 ,0.748 ,0
950,羞憤,2.2 ,0.400 ,7.8 ,0.400 ,0
951,莊嚴,5.8 ,0.748 ,3.4 ,1.356 ,67
952,處罰,3.4 ,0.800 ,6.0 ,0.894 ,69
953,設防,5.0 ,0.632 ,4.8 ,1.939 ,8
954,許諾,5.8 ,0.400 ,4.8 ,1.470 ,0
955,貧困,3.2 ,0.400 ,4.4 ,1.020 ,56
956,貧苦,2.8 ,0.400 ,5.4 ,1.020 ,23
957,貧病,2.8 ,0.400 ,4.6 ,1.020 ,0
958,貧窮,2.8 ,0.400 ,4.6 ,1.020 ,131
959,貧賤,2.4 ,0.490 ,7.4 ,0.490 ,0
960,貪,3.2 ,0.400 ,5.4 ,1.625 ,62
961,貪心,3.0 ,0.000 ,5.6 ,1.744 ,22
962,貪生,3.0 ,0.000 ,5.4 ,1.497 ,0
963,貪汙,1.8 ,0.748 ,7.6 ,1.497 ,0
964,貪求,3.2 ,0.400 ,5.8 ,1.166 ,0
965,貪念,3.6 ,0.490 ,5.0 ,2.098 ,4
966,貪婪,2.8 ,0.748 ,6.6 ,1.497 ,33
967,貪圖,3.0 ,0.632 ,5.8 ,1.939 ,16
968,貪慾,3.6 ,0.490 ,5.6 ,1.744 ,0
969,軟弱,3.6 ,0.490 ,3.6 ,1.200 ,28
970,逗趣,6.4 ,0.490 ,5.2 ,0.748 ,21
971,逝世,2.4 ,0.490 ,4.2 ,2.315 ,39
972,造反,2.2 ,0.748 ,7.8 ,0.400 ,23
973,野蠻,3.0 ,0.632 ,6.8 ,0.980 ,18
974,陰沉,3.2 ,0.400 ,3.4 ,1.020 ,0
975,陰森,3.2 ,0.400 ,3.6 ,0.800 ,10
976,陰暗,3.6 ,0.490 ,3.8 ,0.980 ,38
977,陳腐,2.8 ,0.748 ,5.0 ,1.673 ,10
978,陶醉,6.4 ,0.490 ,4.4 ,1.625 ,40
979,麻木,4.0 ,0.632 ,3.2 ,1.600 ,27
980,麻煩,3.6 ,0.490 ,5.0 ,0.894 ,164
981,凱旋,7.2 ,0.400 ,7.0 ,0.000 ,16
982,創傷,2.8 ,0.400 ,6.2 ,0.748 ,30
983,勝利,7.8 ,0.748 ,7.2 ,1.166 ,174
984,勝過,6.2 ,0.748 ,5.8 ,0.748 ,51
985,博愛,6.8 ,0.748 ,4.6 ,1.855 ,21
986,博學,6.8 ,0.400 ,4.8 ,1.600 ,11
987,善心,6.8 ,0.980 ,4.2 ,1.470 ,22
988,善良,7.4 ,1.020 ,4.4 ,1.356 ,83
989,善意,6.8 ,0.400 ,5.0 ,1.673 ,64
990,喜上眉稍,7.4 ,0.490 ,6.8 ,0.980 ,0
991,喜出望外,7.8 ,0.748 ,7.6 ,0.490 ,9
992,喜形於色,7.4 ,0.490 ,6.8 ,0.748 ,4
993,喜怒哀樂,5.0 ,0.000 ,5.2 ,0.400 ,15
994,喜怒無常,3.4 ,0.490 ,5.8 ,0.748 ,0
995,喜宴,6.6 ,0.490 ,6.2 ,1.720 ,14
996,喜悅,7.4 ,0.490 ,6.2 ,1.166 ,139
997,喜氣,7.0 ,0.632 ,5.0 ,1.414 ,17
998,喜從天降,7.4 ,0.490 ,7.0 ,1.095 ,0
999,喜新厭舊,3.4 ,0.490 ,5.2 ,1.327 ,7
1000,喜極而泣,8.2 ,0.400 ,8.4 ,0.490 ,0
1001,喜劇,6.8 ,0.980 ,5.0 ,2.098 ,48
1002,喜慶,7.4 ,0.490 ,6.6 ,1.200 ,9
1003,喝采,7.4 ,0.490 ,7.0 ,1.095 ,15
1004,喪心,3.0 ,0.000 ,6.2 ,1.600 ,0
1005,喪生,1.8 ,0.748 ,6.6 ,1.356 ,20
1006,喪志,2.4 ,0.490 ,5.4 ,2.154 ,0
1007,喪氣,3.0 ,0.632 ,5.0 ,1.673 ,0
1008,喪偶,2.6 ,1.020 ,6.2 ,1.166 ,9
1009,喪盡,2.8 ,0.748 ,7.0 ,0.632 ,0
1010,喪膽,2.8 ,0.748 ,7.6 ,1.020 ,0
1011,喪禮,2.0 ,0.894 ,4.4 ,2.154 ,19
1012,報仇,2.8 ,1.166 ,8.0 ,0.000 ,22
1013,報復,2.2 ,0.748 ,7.6 ,1.020 ,36
1014,富有,7.2 ,0.400 ,4.8 ,1.600 ,89
1015,富裕,7.4 ,0.490 ,5.4 ,1.855 ,132
1016,寒酸,3.6 ,0.490 ,4.2 ,1.600 ,0
1017,尊重,6.8 ,0.748 ,5.2 ,1.327 ,546
1018,尊貴,6.8 ,0.748 ,5.2 ,0.980 ,28
1019,尊敬,7.0 ,1.095 ,5.4 ,1.497 ,115
1020,尊榮,7.6 ,0.800 ,5.2 ,1.939 ,5
1021,尊嚴,6.2 ,0.980 ,5.2 ,1.600 ,165
1022,尋歡作樂,4.2 ,0.748 ,6.4 ,1.200 ,0
1023,就緒,5.2 ,0.400 ,3.6 ,1.625 ,18
1024,復仇,2.2 ,0.400 ,7.6 ,0.490 ,22
1025,悲哀,2.6 ,0.490 ,4.6 ,2.154 ,81
1026,悲苦,2.4 ,0.490 ,5.0 ,1.673 ,15
1027,悲悽,2.2 ,0.748 ,4.8 ,1.939 ,0
1028,悲情,3.0 ,0.632 ,5.0 ,1.265 ,34
1029,悲喜,4.4 ,0.800 ,5.4 ,1.356 ,0
1030,悲痛,2.6 ,0.800 ,6.8 ,0.980 ,29
1031,悲傷,2.8 ,0.748 ,6.0 ,1.095 ,52
1032,悲愁,2.8 ,0.400 ,4.6 ,1.855 ,0
1033,悲慘,2.2 ,0.400 ,7.0 ,1.095 ,48
1034,悲慟,1.8 ,0.748 ,8.4 ,0.490 ,5
1035,悲劇,2.2 ,0.748 ,6.4 ,0.800 ,121
1036,悲憤,2.4 ,0.490 ,7.8 ,0.400 ,20
1037,悲憫,2.8 ,0.400 ,5.0 ,2.280 ,8
1038,悲歡,4.8 ,0.400 ,5.4 ,1.744 ,0
1039,悲觀,3.2 ,0.400 ,4.4 ,1.625 ,81
1040,悶,3.8 ,0.400 ,4.0 ,1.265 ,53
1041,悶悶不樂,3.6 ,0.490 ,4.0 ,0.894 ,9
1042,惡人,2.8 ,0.748 ,6.2 ,0.980 ,21
1043,惡化,2.8 ,0.400 ,6.2 ,0.748 ,147
1044,惡劣,2.6 ,0.800 ,6.8 ,1.166 ,81
1045,惡言,2.6 ,0.490 ,6.6 ,0.490 ,6
1046,惡性,2.8 ,0.400 ,6.4 ,0.800 ,94
1047,惡毒,2.0 ,0.632 ,7.4 ,0.490 ,6
1048,惡狠狠,2.4 ,0.490 ,7.8 ,0.400 ,8
1049,惡耗,2.0 ,0.894 ,7.4 ,0.490 ,0
1050,惡臭,2.8 ,0.748 ,6.6 ,1.200 ,21
1051,惡鬥,2.6 ,0.490 ,7.6 ,0.800 ,0
1052,惡意,2.8 ,0.400 ,6.8 ,0.748 ,19
1053,惡運,2.8 ,0.400 ,6.0 ,0.894 ,0
1054,惡夢,3.0 ,0.632 ,6.8 ,0.748 ,40
1055,惱,3.2 ,0.748 ,6.6 ,0.800 ,4
1056,惶,3.4 ,0.490 ,6.4 ,1.020 ,0
1057,愉,5.8 ,1.470 ,5.2 ,1.327 ,0
1058,提防,4.6 ,1.200 ,6.0 ,1.095 ,20
1059,散漫,3.4 ,0.490 ,4.0 ,1.673 ,7
1060,景仰,6.8 ,0.400 ,5.8 ,0.748 ,11
1061,智慧,7.4 ,0.490 ,4.0 ,1.673 ,745
1062,最好,6.8 ,0.400 ,6.2 ,0.748 ,466
1063,最佳,7.2 ,0.400 ,6.4 ,1.020 ,465
1064,期盼,6.2 ,0.748 ,6.0 ,1.265 ,80
1065,棒,6.8 ,0.748 ,5.8 ,1.470 ,86
1066,棘手,3.4 ,0.490 ,6.2 ,0.748 ,41
1067,欺,3.2 ,0.980 ,6.2 ,0.748 ,17
1068,欽佩,7.2 ,0.400 ,5.8 ,0.980 ,27
1069,殘忍,2.0 ,0.632 ,7.8 ,0.748 ,39
1070,殘酷,1.8 ,0.748 ,8.2 ,0.400 ,61
1071,殘暴,1.6 ,0.490 ,8.8 ,0.400 ,20
1072,渴求,5.0 ,0.000 ,6.8 ,0.980 ,21
1073,渴望,5.6 ,1.200 ,5.8 ,1.166 ,57
1074,無用,3.6 ,0.490 ,4.4 ,1.625 ,52
1075,無助,3.4 ,0.490 ,4.8 ,1.600 ,44
1076,無味,4.4 ,0.800 ,3.2 ,1.600 ,17
1077,無奈,3.6 ,0.800 ,4.2 ,0.748 ,213
1078,無知,3.6 ,0.800 ,4.4 ,1.356 ,77
1079,無畏,6.6 ,0.800 ,6.4 ,1.020 ,8
1080,無害,5.6 ,0.800 ,4.2 ,1.470 ,17
1081,無效,4.2 ,0.400 ,4.4 ,1.200 ,45
1082,無益,3.8 ,0.400 ,3.8 ,1.470 ,19
1083,無能,3.0 ,0.632 ,6.0 ,0.894 ,59
1084,無常,3.6 ,0.490 ,4.2 ,1.166 ,54
1085,無望,2.8 ,0.400 ,4.8 ,1.327 ,18
1086,無聊,3.8 ,0.400 ,3.4 ,1.356 ,143
1087,無辜,4.4 ,1.356 ,4.0 ,1.789 ,49
1088,無意義,4.2 ,0.748 ,4.0 ,1.265 ,14
1089,無精打采,3.6 ,0.490 ,3.4 ,1.356 ,11
1090,無憂無慮,7.0 ,0.000 ,3.6 ,1.625 ,17
1091,無關緊要,4.6 ,0.490 ,3.4 ,1.356 ,6
1092,無懼,5.8 ,1.470 ,5.8 ,1.166 ,5
1093,焦急,3.0 ,0.632 ,7.0 ,0.632 ,33
1094,焦慮,3.2 ,0.748 ,6.4 ,0.800 ,128
1095,猶疑,4.0 ,0.894 ,5.2 ,0.748 ,13
1096,猶豫,4.2 ,0.748 ,4.8 ,1.470 ,78
1097,痛,3.0 ,0.632 ,6.2 ,0.980 ,281
1098,痛不欲生,1.8 ,0.748 ,8.4 ,0.490 ,7
1099,痛苦,2.4 ,0.490 ,6.8 ,0.748 ,369
1100,痛哭流涕,1.8 ,0.748 ,8.0 ,0.632 ,5
1101,發抖,3.4 ,0.490 ,6.2 ,0.980 ,41
1102,發牢騷,3.6 ,0.490 ,6.0 ,1.414 ,11
1103,發狂,2.6 ,0.490 ,7.8 ,0.748 ,16
1104,發怒,2.4 ,0.490 ,8.0 ,0.894 ,11
1105,發臭,3.2 ,0.748 ,5.8 ,1.166 ,7
1106,發愁,3.0 ,0.632 ,6.2 ,1.327 ,7
1107,盜,3.0 ,0.894 ,5.8 ,1.470 ,10
1108,結巴,4.0 ,0.000 ,4.6 ,1.356 ,0
1109,絕妙,6.8 ,0.400 ,6.8 ,0.400 ,4
1110,絕望,2.2 ,0.980 ,6.0 ,2.000 ,68
1111,脾氣,4.8 ,0.400 ,4.4 ,1.960 ,77
1112,舒服,6.6 ,0.490 ,3.6 ,1.020 ,208
1113,舒適,6.8 ,0.400 ,3.6 ,1.200 ,142
1114,華麗,6.8 ,0.748 ,5.6 ,1.960 ,78
1115,著迷,5.6 ,1.497 ,7.0 ,0.632 ,31
1116,虛心,6.2 ,1.327 ,2.6 ,1.356 ,23
1117,虛弱,3.0 ,0.000 ,3.4 ,1.855 ,29
1118,虛榮,3.0 ,0.632 ,6.2 ,1.327 ,21
1119,虛榮心,3.0 ,0.632 ,6.0 ,1.095 ,9
1120,訴苦,3.2 ,0.980 ,6.6 ,0.800 ,25
1121,詐騙,2.6 ,0.800 ,7.0 ,1.095 ,15
1122,費力,3.4 ,0.490 ,6.2 ,0.980 ,37
1123,跛,3.2 ,0.980 ,5.0 ,1.673 ,5
1124,跛腳,3.2 ,0.980 ,5.2 ,1.939 ,4
1125,鈍,3.8 ,0.980 ,2.6 ,1.200 ,10
1126,開心,7.2 ,0.748 ,6.6 ,1.020 ,152
1127,開明,7.0 ,0.894 ,5.0 ,1.673 ,34
1128,開朗,7.2 ,1.166 ,5.4 ,1.356 ,62
1129,閒散,4.6 ,1.020 ,2.2 ,0.748 ,6
1130,陽光,7.2 ,1.470 ,5.0 ,1.897 ,317
1131,隆重,6.6 ,1.020 ,7.0 ,0.894 ,30
1132,雅緻,6.8 ,0.748 ,4.4 ,1.200 ,14
1133,順利,7.0 ,0.894 ,5.0 ,1.673 ,509
1134,亂,3.6 ,0.490 ,5.8 ,0.980 ,308
1135,傲慢,2.8 ,0.748 ,6.0 ,1.414 ,16
1136,傳情,6.4 ,0.490 ,5.4 ,1.855 ,0
1137,債務,3.0 ,0.632 ,5.2 ,0.748 ,47
1138,傷,3.4 ,0.800 ,5.2 ,1.327 ,104
1139,傷人,3.2 ,0.748 ,6.8 ,1.166 ,22
1140,傷亡,2.2 ,0.400 ,7.4 ,1.020 ,31
1141,傷天害理,1.4 ,0.490 ,8.0 ,1.095 ,0
1142,傷心,3.0 ,0.632 ,6.2 ,1.166 ,134
1143,傷害,2.8 ,0.400 ,6.6 ,1.020 ,265
1144,傷神,3.4 ,0.490 ,5.6 ,2.059 ,0
1145,傷痕,3.6 ,0.490 ,5.0 ,1.414 ,38
1146,傷悲,3.0 ,0.632 ,6.0 ,0.894 ,7
1147,傷殘,2.8 ,0.748 ,5.8 ,0.980 ,32
1148,傷痛,3.0 ,0.632 ,6.6 ,1.020 ,31
1149,傷勢,3.4 ,0.490 ,4.6 ,1.625 ,12
1150,傷感,3.4 ,0.490 ,5.2 ,1.327 ,34
1151,傻,3.6 ,0.490 ,4.0 ,1.265 ,43
1152,傻子,3.6 ,0.490 ,4.2 ,0.980 ,11
1153,傻笑,4.0 ,0.894 ,5.4 ,0.490 ,9
1154,勢利,3.2 ,0.748 ,5.4 ,1.855 ,7
1155,嗚咽,2.6 ,0.800 ,5.6 ,1.855 ,8
1156,嫉,3.0 ,0.632 ,6.2 ,1.166 ,5
1157,嫌,3.0 ,0.632 ,5.8 ,1.166 ,146
1158,徬徨,4.0 ,0.632 ,4.4 ,1.356 ,30
1159,微笑,6.4 ,0.490 ,4.6 ,1.356 ,75
1160,微醺,5.8 ,0.748 ,5.2 ,1.600 ,4
1161,想念,4.8 ,0.400 ,5.4 ,1.960 ,45
1162,惹惱,3.0 ,0.894 ,7.2 ,0.400 ,0
1163,愁,3.4 ,0.490 ,4.8 ,1.939 ,39
1164,愚笨,3.2 ,0.748 ,4.0 ,1.673 ,12
1165,愛心,7.0 ,0.000 ,4.6 ,1.356 ,194
1166,愛情,7.0 ,0.000 ,5.8 ,1.600 ,241
1167,愛慕,6.8 ,0.980 ,6.2 ,1.600 ,14
1168,愛護,7.0 ,0.632 ,5.4 ,1.356 ,72
1169,感恩,7.2 ,0.400 ,4.8 ,0.400 ,55
1170,感情,5.4 ,0.800 ,5.2 ,0.748 ,648
1171,感傷,3.8 ,0.400 ,5.4 ,1.744 ,42
1172,感激,6.8 ,0.748 ,7.2 ,0.748 ,129
1173,愧,3.4 ,0.490 ,6.2 ,0.748 ,0
1174,慈祥,7.0 ,0.000 ,4.2 ,1.470 ,17
1175,慈善,7.0 ,0.000 ,4.6 ,1.855 ,62
1176,慈悲,5.6 ,1.200 ,5.0 ,2.530 ,72
1177,慌,3.2 ,0.748 ,6.8 ,0.400 ,26
1178,損人,3.0 ,0.894 ,6.2 ,0.748 ,0
1179,損害,2.8 ,0.748 ,6.4 ,0.800 ,47
1180,損傷,2.8 ,0.748 ,6.8 ,0.400 ,30
1181,損壞,2.6 ,0.490 ,7.2 ,0.748 ,53
1182,搏鬥,3.2 ,0.748 ,7.2 ,0.748 ,33
1183,敬畏,6.8 ,0.980 ,6.4 ,1.020 ,14
1184,敬重,7.0 ,0.632 ,6.0 ,0.894 ,29
1185,敬意,6.6 ,0.800 ,4.8 ,1.470 ,40
1186,暖和,6.4 ,0.490 ,4.0 ,1.265 ,20
1187,業障,3.0 ,0.000 ,5.8 ,1.720 ,12
1188,極好,7.8 ,0.748 ,7.8 ,0.980 ,11
1189,極端,4.4 ,0.800 ,7.0 ,1.095 ,72
1190,極樂,6.8 ,1.166 ,6.6 ,0.800 ,0
1191,毀掉,2.8 ,0.400 ,6.6 ,1.020 ,14
1192,毀敗,2.8 ,0.400 ,6.4 ,1.356 ,0
1193,毀棄,2.8 ,0.400 ,6.6 ,1.625 ,9
1194,毀傷,2.6 ,0.490 ,6.4 ,1.356 ,4
1195,毀損,2.8 ,0.400 ,6.2 ,1.720 ,17
1196,毀滅,2.8 ,0.400 ,7.6 ,1.020 ,56
1197,毀謗,2.6 ,0.490 ,7.4 ,0.490 ,17
1198,毀壞,3.2 ,0.400 ,5.8 ,0.748 ,21
1199,溫和,6.0 ,0.000 ,3.6 ,1.356 ,99
1200,溫柔,6.6 ,0.490 ,4.2 ,1.166 ,123
1201,溫情,6.6 ,0.800 ,4.8 ,1.166 ,19
1202,溫暖,7.2 ,0.980 ,4.2 ,1.166 ,201
1203,溫馨,7.4 ,0.800 ,4.0 ,1.095 ,145
1204,滑稽,4.2 ,0.400 ,5.0 ,1.095 ,13
1205,煩,3.4 ,0.490 ,5.4 ,1.020 ,54
1206,煩人,3.4 ,0.490 ,6.2 ,0.980 ,8
1207,煩心,3.2 ,0.400 ,6.0 ,0.632 ,5
1208,煩忙,3.2 ,0.400 ,6.2 ,1.720 ,0
1209,煩勞,3.2 ,0.400 ,5.8 ,1.600 ,0
1210,煩悶,3.0 ,0.000 ,5.8 ,1.470 ,19
1211,煩惱,3.0 ,0.632 ,6.2 ,1.166 ,119
1212,煩亂,3.0 ,0.632 ,7.2 ,1.166 ,0
1213,煩愁,2.8 ,0.400 ,6.8 ,0.400 ,0
1214,煩瑣,3.6 ,0.490 ,5.6 ,1.497 ,5
1215,煩擾,3.4 ,0.490 ,6.0 ,1.789 ,0
1216,煩雜,3.4 ,0.490 ,6.0 ,1.789 ,4
1217,煩躁,3.2 ,0.400 ,7.6 ,1.200 ,16
1218,痴狂,4.0 ,0.894 ,7.6 ,0.490 ,0
1219,禁止,3.4 ,0.800 ,5.2 ,1.327 ,225
1220,禁忌,3.0 ,0.632 ,5.2 ,1.327 ,74
1221,罪,3.0 ,0.000 ,5.4 ,1.020 ,67
1222,罪人,2.8 ,0.400 ,6.0 ,0.632 ,12
1223,罪大惡極,1.4 ,0.490 ,8.8 ,0.400 ,0
1224,罪犯,2.6 ,0.490 ,6.0 ,0.632 ,28
1225,罪名,2.6 ,0.490 ,5.2 ,1.327 ,45
1226,罪行,2.4 ,0.800 ,6.0 ,0.632 ,31
1227,罪惡,2.2 ,0.748 ,7.0 ,0.632 ,35
1228,罪過,2.6 ,0.490 ,6.4 ,0.800 ,9
1229,罪孽,2.0 ,0.632 ,7.6 ,0.490 ,0
1230,羨慕,6.0 ,1.414 ,5.6 ,0.490 ,114
1231,義,6.4 ,0.894 ,6.0 ,0.707 ,55
1232,義憤,3.2 ,1.166 ,7.6 ,0.490 ,0
1233,萬念俱灰,1.4 ,0.490 ,7.4 ,1.356 ,4
1234,萬歲,7.6 ,0.800 ,7.6 ,0.800 ,38
1235,落伍,3.6 ,0.490 ,4.2 ,1.470 ,43
1236,落空,3.4 ,0.800 ,5.8 ,1.600 ,20
1237,解決,6.2 ,0.980 ,4.8 ,1.470 ,1537
1238,解脫,6.2 ,0.748 ,6.0 ,0.894 ,87
1239,詫異,4.2 ,0.400 ,6.8 ,1.166 ,15
1240,詭計,3.4 ,0.490 ,5.2 ,1.327 ,5
1241,詼諧,6.4 ,1.200 ,4.6 ,1.356 ,19
1242,誇大,3.6 ,0.490 ,5.0 ,1.265 ,30
1243,誠,6.8 ,0.748 ,4.8 ,0.400 ,16
1244,誠心,7.0 ,0.632 ,4.6 ,0.490 ,18
1245,誠實,7.2 ,0.748 ,4.8 ,0.400 ,114
1246,賊,2.6 ,0.800 ,6.0 ,1.265 ,56
1247,躲避,3.6 ,0.490 ,4.8 ,1.600 ,43
1248,遇難,2.0 ,0.894 ,6.4 ,2.577 ,9
1249,過失,3.0 ,0.632 ,5.4 ,1.625 ,33
1250,過錯,3.2 ,0.980 ,5.0 ,1.673 ,20
1251,違心,3.0 ,0.632 ,5.2 ,1.327 ,0
1252,違犯,3.0 ,0.632 ,5.2 ,1.166 ,5
1253,違抗,2.8 ,0.748 ,6.8 ,0.400 ,6
1254,違法,2.4 ,1.020 ,6.6 ,1.200 ,138
1255,違紀,2.6 ,0.800 ,5.6 ,1.020 ,0
1256,違約,2.8 ,0.748 ,5.6 ,1.020 ,17
1257,違背,3.0 ,0.632 ,4.8 ,1.470 ,73
1258,違規,3.4 ,0.800 ,5.2 ,1.327 ,165
1259,頑固,3.2 ,0.400 ,6.4 ,0.800 ,23
1260,頑強,5.0 ,1.095 ,6.2 ,0.748 ,14
1261,鼓舞,6.6 ,0.490 ,6.8 ,0.400 ,64
1262,厭世,2.2 ,0.400 ,6.6 ,1.855 ,8
1263,厭食,2.8 ,0.400 ,5.2 ,2.040 ,0
1264,厭倦,3.2 ,0.400 ,4.2 ,1.600 ,23
1265,厭惡,2.6 ,0.490 ,7.2 ,0.400 ,38
1266,厭煩,3.0 ,0.632 ,5.6 ,1.356 ,30
1267,嘆,4.0 ,0.632 ,3.6 ,1.200 ,60
1268,嘆息,3.4 ,1.020 ,3.8 ,1.166 ,26
1269,嘆氣,3.2 ,0.748 ,4.0 ,1.265 ,15
1270,嫩,5.2 ,1.470 ,4.4 ,1.200 ,25
1271,寧靜,6.2 ,0.748 ,1.6 ,0.800 ,136
1272,對抗,4.0 ,0.632 ,7.2 ,0.400 ,137
1273,對質,3.8 ,0.748 ,7.0 ,1.095 ,6
1274,慘,2.8 ,0.748 ,5.0 ,1.673 ,78
1275,慢,4.4 ,0.490 ,2.8 ,1.327 ,250
1276,慷慨,6.8 ,0.980 ,5.8 ,0.748 ,35
1277,摧毀,2.8 ,0.400 ,7.2 ,0.400 ,70
1278,榮幸,6.8 ,0.400 ,5.4 ,1.356 ,17
1279,榮耀,7.6 ,0.490 ,7.0 ,0.894 ,45
1280,榮譽,7.6 ,0.800 ,5.8 ,1.470 ,110
1281,滿足,7.4 ,0.800 ,4.6 ,1.356 ,581
1282,滿意,7.2 ,0.748 ,5.6 ,1.020 ,396
1283,漂亮,7.2 ,0.400 ,6.0 ,1.265 ,361
1284,漫不經心,3.2 ,0.400 ,3.4 ,1.356 ,10
1285,瑣事,3.8 ,0.400 ,4.6 ,0.800 ,18
1286,瑣碎,3.8 ,0.400 ,4.6 ,0.490 ,34
1287,疑心,3.2 ,0.400 ,5.4 ,0.800 ,0
